Title,Film Fest,Festival Program,All Pass,Status,Screenings,Tracking,Sub Date,Sales Company,Active,Submitted By,Submitted To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Print Coverage,Format Submitted,Log Line,Notes,,Screening,Priority I,Festival Wrap Up,Priority II,Bought By, Coverage Text Only,Insert Script File Here,Insert Coverage File Here
My Suicide,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Comedy Drama,David Lee Miller,$2 Mil.,David Lee Miller,,"Larry Janss, Todd Traina",05/04/2010,"David Carradine (in one of his final roles), Joe Mantegna, Brooke Nevin ('Infestation'), Michael Welch ('Twilight')",,No Print Coverage,,"Archie Williams (newcomer Gabriel Sunday in an electrifying, award- winning turn) is a 17- year old media geek who has suddenly found himself the most talked- about kid in school. He has announced that he's going to kill himself- on camera- for a class project. His classmates, parents, shrinks, doctors, pill-pushers, and counselors descend on Archie. Some are hoping to save him, some want to imitate him, others try to push him over the brink. Archie films every moment of his high school experience: realities of life, death, violence, sex, drugs, and the intense media overload and hypocrisy that bombard all teenagers.
",,,"FRI 14 - 9:30@PALAIS D
MON 17 - 13:30@GRAY 4",,,,,,,
Necromentia,,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Horror,Pearry Teo,,Stephanie Joyce,,Stephanie Joyce,,"Chad Grimes, Layton Matthews",,No Print Coverage,,"Explores the use of a tattooed Ouija Board through the lives and perspectives of 4 people.
 ",,,,,,,,,,
Phobidilia ,"Cannes 2010, Berlin 2010","Cannes 2010, Berlin 2010 - Generation",Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Drama,"Doron Paz, Yoav Paz",,"Doron Paz, Yoav Paz",,"Guy Behar, Amir Golan",05/04/2010,"Ofer Shechter, Efrat Baumwald",,No Print Coverage,,"After suffering an emotional breakdown in a public place, a young man vows never to leave his apartment. He quickly discovers that in today's world all his needs can be easily met: sex via the Internet, food by telephone delivery and entertainment by television. Four years later, his idyllic existence comes under attack when free- spirited Daniela comes into his life while Grumps, the building's real estate agent, informs him that the apartment is about to be sold.",,,THURS 13 - 14:00@PALAIS E,,,,,,,
"Point of No Return, The",,,Not All Pass,Production,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Animation Thriller,Solo Avital,,Ronen Bergman,,"Ehud Bleiberg, Arial Vromen",,,,No Print Coverage,,"At the heart of the story is a former Mossad agent turned a weapon dealer Arnon Cohen, who finds himself right in the midst of an explosive situation threatening not just his own life, but the very existence of his entire country.
","no asks / prepro
Promo in Berlin",,,,,,,,,
Small Town Saturday Night,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Drama,Ryan Craig,,Ryan Craig,,"Ryan Craig, Charlie Mason, Justin Moore-Lewy",05/04/2010,"Chris Pine, John Hawkes",,No Print Coverage,,"Just days before leaving for Nashville, Rhett Ryan discovers that the desire to follow his dream conflicts with his desire to be with the woman he loves. While Samantha does love the singer-songwriter, she starts to realize what's best for her daughter and their future may not be what's best for him.",,,TUES 18 - 15:30@PALAIS F,,,,,,,
"trotsky, the",Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Comedy,Jacob Tierney,,Jacob Tierney,,Kevin Tierney,05/06/2010,"Jay Baruchel, Colm Feore, Genevieve Bujold",,No Print Coverage,,"Like most high schoolers, Leon Bronstein (Jay Baruchel, 'Tropic Thunder,' 'Knocked Up') is having an identity crisis. What differentiates Leon, however, is that he believes he is the reincarnation of Soviet thinker Leon Trotksy, predestined to follow the same path as his namesake. When sentenced to public school as punishment for staging a hunger strike in his father's factory, Leon just sees it as another step toward the fulfillment of his destiny. After all, teeming with Stalinesque authoritarians and throngs of budding individuals without a voice, what arena could be more apropos for social reinvention than high school? He quickly enlists a clan of disenchanted youth, and together they devise a plan to take down the dictator—er, principal—and restore the spirit of his classmates.",,,Sat 15 - 12.00 @Palais E                     Sun 16 - 18.00 @Gray 3,,,,,,,
"Vicious Kind, The",,,Not All Pass,Completed,,Not Tracking,,Bleiberg Entertainment,,,,Not Film List,,Drama,Lee Toland Krieger ,,Lee Toland Krieger,,"Tim Harms, Neil LaBute",,"Adam Scott, Britteny Snow, Alex Frost, J.K. Simmons",,No Print Coverage,,"A man tries to warn his brother away from the new girlfriend he brings home during Thanksgiving, but ends up becoming iinfatuated with her in the process","Steven  has screened this film and it's a pass

BLX 60k
FR 100k
IT 90k
SW no price (ger 175)
SCAN 50k
LA 184k
INDO 40k
PORT 35k
ME 35k
AUS 100k",,,,,,,,,
brooklyn's finest,,,Not All Pass,Completed,,Not Tracking,04/19/2010,CAA  ,,,,Not Film List,,action/crime/drama/thriller,Antooine Fugua,$25Mil (est),Michael C Martin,,"Elie Cohn, Basil Iwanyk, John Langley, Avi Lerner, John Thompson",04/19/2010,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Ellen Barkin, Vincent D'Onofrio",,Print Coverage,,Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,,,,,,,,"NU IMAGE

TITLE: Brooklyn’s Finest
DIRECTOR: Antoine Fuqua	
WRITER: Michael Martin 
CAST: Richard Gere, Don Cheadle, Wesley Snipes, Ethan Hawke & Ellen Barkin 
STATUS: In Development
GENRE: Crime Drama
READER: Greg Castillo / Steve Murphy comments


LOGLINE 

Three unconnected Brooklyn cops end up at the same deadly location after traveling down vastly different career paths.

COMMENTS  (Steve)

A cop drama  echoing the dramatic elements of THE DEPARTED but lacking the deft screenwriting that helped make that film so powerful, this project has a big name cast and a strong director (TRAINING DAY, THE SHOOTER) but is hampered by a simplistic script with obvious dialog and stereotypical characterizations.  The film involves a few exciting sequences, most notably the climactic sequence where the three previously unrelated characters wind up interacting with deadly results.   Decent for popcorn because of cast and director only.

SUMMARY  (Greg)

	SAL is a middle-aged Brooklyn cop, sitting in a car talking with a criminal, who he shoots point blank in the head.  Sal takes his garbage bag full of money and leaves the scene.  TANGO rides with a couple thugs, running drugs back to the city.  They get pulled-over, Tango throwing tons of attitude around, but surprisingly the cops let them go.  EDDIE DUGAN is nearing retirement, and is a burnout whose never had much of a career and entertains thoughts of suicide from time to time.  All three of these cops are in way over their heads.     
	When Sal returns to the station his superior jokes with him about how lucky they are to have found a drug dealer they’d been investigating shot dead in his car.  Sal is conflicted about what he’s done, and even tries confessing to a priest.  Tango hides his gold chains, takes gold caps off his teeth and meets his supervisor DAN at a secluded diner.  Tango’s working undercover on a local drug dealing crew, and has been doing so for nearly 4 years, his wife divorcing him along the way.  Eddie meanwhile goes through another day of writing tickets and directing traffic; only a few weeks of his pathetic career left till he retires. 
	Sal heads home to his family, stashing the stolen drug money underneath his bed.  His wife is pregnant with twins, and he already has five daughters and two sons.  Sal has been socking stolen money away with the hopes of buying his family their dream house, so they don’t have to live all crammed together.  Tango meanwhile attends a homecoming party for CAZ, an aging drug dealer just paroled and currently on house arrest.  While working undercover in the prison, Tango befriended Caz and feels very close to him.  They laugh and joke while reminiscing, everyone having a good time in the Louis Pink Projects, where Caz’s crew sells crack cocaine.  
	With operation Clean Sweep having been approved, the Brooklyn police department starts hitting the projects hard.  Dealers get arrested; junkies are forced to take their business elsewhere.  Tango meanwhile gets called in to meet FBI SPECIAL AGENT SMITH, whose sole priority is to send Caz back to jail.  Having known that Caz has served his time and is trying to go straight, Tango refuses to cooperate.  But agent Smith produces documents detailing Tango’s undisclosed bank accounts where he’s been hiding money he’s been skimming off crimes he’s committed over the years.  Agent Smith only cares about the money if Tango refuses to play ball.  Tango is forced to wear a wire. 
	After leaving a rookie to handle a situation which ended in a student’s death, Eddie tries to take all the blame during the internal affairs investigation.  Later he vents to his 20 year-old whore CHANTEL that he’s a waste of cop and has done nothing to earn his retirement.  Eddie wants to turn his life around but knows it’s way too late.
	With the drug sweeps disrupting business, Caz contemplates moving his operation to another location.  RED – one of his younger and more dangerous associates – informs him about a deal to move 10 bricks of cocaine to some of his people from uptown; Tango’s wire capturing every bit of their conversation.  They head to a strip club game room to do some gambling and to meet Red’s people.  Before Caz speaks with them, Tango pulls him aside near a large speaker, whispering while surreptitiously covering the wire.  He tells Caz about a legit business opportunity running a club, giving him a business card.  Caz is dumbfounded by the offer, and later in the car ride home a drunken Tango tells Caz he wanted to be a cop when he was a kid.  Caz has to put Tango to bed he’s so wasted, and when Tango throws up on himself Caz has to remove his shirt, seeing the wire.  The next day Tango learns that Caz decided to buy the club, passing on the drug deal.  As they talk about it Caz doesn’t let his friend know he’s seen the wire, and as they’re about to part ways forever gunshots ring out.  Caz is shot to death.  All Tango can do is watch his friend die.
 	Tango is immediately brought in to meet Dan and Agent Smith, where he learns that the FBI knew Red was about to hit Caz for backing out of the drug deal he’d set up.  Despite Tango’s anger, Smith ends his undercover life right then and there, Dan telling him after the sees the psych doc for a few weeks he’ll report to the station as Detective Clarence Butler (his real name).  Tango is being given his life back but all he wants to do is settle the score with Red. 
	 After Eddie’s retirement ceremony – which he views as a farce – he goes to see Chantel, asking her to come live with him at his Connecticut lake house.  She wouldn’t have to have sex with him; Eddie just wants to give her a way out of the life she has.  Chantel declines, and as Eddie exits the rundown building he spots a young girl being put into a van whom he recognizes as having been reported missing.  Sal meanwhile has been trying to get the last of the money for the down payment on his family’s dream house.  He’s missed a few opportunities to steal drug money, and now feeling like he won’t be able to get the funds he needs in time, decides to get himself killed in the line of duty so his family can collect the insurance.  While on a stakeout at the projects with rookie cop RONNY, Sal sends him to get food, and heads to a known drug dealer’s apartment, passing Tango, who’s looking for Red with a loaded .45 desert eagle.  Eddie meanwhile has followed the girl in the van to the same building.  Tango enters Red’s apartment and puts the gun to his head but can’t pull the trigger, deciding to arrest him instead.  And Sal is praying before kicking in the drug dealer’s door, getting scared about walking into certain death.  
	Eddie enters an apartment, finding the missing girl and two others chained to a radiator.  Red meanwhile pleads with Tango, who gets so enraged after not being able to call in for assistance because his name has been erased, shoots Red dead on the street.  But Ronny – the rookie Sal sent for food – witnesses this and shoots Tango dead.  Eddie is able to save the girls, and when Sal enters the apartment the drug dealers surrender to him.  Sal happens upon a million dollars in the closet, but as he’s gathering it up another drug dealer shows up and kills him.  
	The next day’s paper is littered with headlines and pictures of Eddie, Sal and Tango with the words “Brooklyn’s Finest” above them.  With the insurance money Sal’s family moves into their dream house, Tango is remembered by Caz, and Eddie heads to his lake house, putting his “Outstanding Valor by a Citizen” award on his mantle before going fishing. 
	
		       


	 

",,brooklynsfinest.doc
Attica,,,Not All Pass,Unknown,,Not Tracking,03/12/2010,CAA  ,,,,Not Film List,,,Doug Liman (Mr. and Mrs. Smith),,Geoffrey Fletcher (Precious),,,,,,No Print Coverage,,"An insider's view of the 1971 Attica state prison rebellion, the film will chronicle the bloodiest prison riot in US history - an event that captivated the nation over the course of the 4 day standoff - and the controversy that followed",,,,,,,,,,
against all enemies,,,Not All Pass,Development,,Not Tracking,04/18/2010,Capitol Films,,,,Not Film List,,Drama,Robert Redford,,"Richard Clarke (book), James Vanderbilt",Steve,"John Calley, Tracy Falco",04/18/2010,Bruce Willis,,Print Coverage,,An adaptation of Richard Clarke's book about the Bush administration's failure to heed warnings about Al Qaeda's planned attack on the United States.,,,,,,,,"CAPITOL

TITLE: Against All Enemies
DIRECTOR:  Robert Redford
WRITER: James Vanderbilt
CAST: Bruce Willis
STATUS: Shooting first quarter of 08
GENRE: Political Thriller
READER: Steven Murphy

LOGLINE

Based on the memoirs of fallen “terrorism czar” Richard Clarke who’s outspoken warnings about the threat of AL QAEDA came years before 9-11, and who’s subsequent testimonies have made him a pariah.

COMMENTS

Richard Clarke’s story is a modern day American tragedy and his point of view of the “war on terror” and the U.S’s terrible handling of the growing threat of Al Qaeda is intelligent, gripping and completely unique (because of the unprecedented insider knowledge of the events that he provides).  Watching the history of the conflict grow from the late seventies mujahadin to the eventual culmination of 9-11 and the subsequent misguided invasion of Iraq feels like a TOM CLANCY book set in the real world, giving the action an intense gravity.  For an international audience, this could very well be too American… but in it’s favor – on the page it doesn’t feel like a stereotypical Hollywoodization of the events; and the point of view is very insider, very honest and very implicative of the US government.  The script is aided by strong dialog, peppered with some moments of gallows humor, as well as smartly written portrayals of real life characters. The story is much more linear than the work of Stephen Gaghan or other flashier “Political Thrillers,” but I felt the stylistic restraint works in its favor.


SUMMARY

The film opens with RICHARD CLARKE in crisis mode – September 11th, 2001 and the US is under the largest homeland attack in its history.  Staying calm and collected under pressure, Clarke risks his life by staying in the white house and coordinating a “continuance of government” despite the implicit knowledge that the white house is a primary target of the attack.

Flashback – 1979 – The U.S. through state department up and comer Clarke, supplies arms to the mujahadin fighters of Afghanistan in the hopes that their SOVIET attackers would exhaust their resources in a drawn out war.  The US plan works: in 1989, the USSR crumbles. 

Clarke’s happiness is short lived as a new enemy quickly surfaces: the former mujahadin fighters now view America as the infidel aggressors in the region.  “What is this, Muj 2: Electric Bugaloo?” Clarke fights the tide of government, battling red tape, bureaucracy, politics and territorialism from the FBI and CIA in order to investigate the jihadists.  After unearthing a buried assassination plot against the first president BUSH, Clarke succeeds in getting the attention of the Clinton administration. Meanwhile, the enemy begins to mount more and more violent and successful attacks : in 93 the world trade center is bombed; throughout the nineties several embassies are bombed in and the late nineties the USS Cole is blown up by Al-Qaeda.  Clarke has identified OSAMA BIN LADEN as a threat and convinced BILL CLINTON to fund a anti terrorism force (Clinton subsequently appoints Clarke as the “terrorism czar.”  Clarke engineers an attempted assassination of Bin Laden, but the Al-Qaeda leader escapes.  The embarrassment of the failed mission dooms Clarke – Clinton will not OK another attack.  When the younger BUSH wins the election in 2000, he demotes Clarke and ignores any warnings about Al-Qaeda, seeking instead to look for terrorism within IRAQ.  Even after September 11th, the administration makes it clear that they are not interested in finding BIN LADEN, so much as they are interested in justifying an attack on SADAM HUSSEIN.  Clarke resigns.  He realizes that the government is lying to the American public and decides to write a tell all book implicating the government’s refusal to pursue Al Qaeda.  He testifies before a Senate investigatory commission and apologizes to the American public for the attacks and for the failure of the US government. 
",,againstallenemies.doc
